name,date
A/Frederico_Westphalen/LACENRS_2130/2012|2012-07-26,2012.56557
A/Peru/PER300/2010|2010-10-07,2010.76438
A/Peru/PER319/2010|2010-10-27,2010.81918
A/Peru/PER329/2010|2010-10-19,2010.79726
A/Peru/PER339/2010|2010-11-02,2010.83562
A/Peru/PER349/2010|2010-10-27,2010.81918
A/Peru/PER351/2010|2010-10-22,2010.80548
A/Peru/PER365/2010|2010-11-06,2010.84658
A/Peru/PER376/2010|2010-11-15,2010.87123
A/Peru/PER390/2010|2010-10-11,2010.77534
A/Peru/PER274/2010|2010-10-18,2010.79452
A/Managua/2492.04/2010|2010-07-02,2010.49863
A/Peru/PER002/2010|2010-11-19,2010.88219
A/Peru/PER256/2010|2010-11-22,2010.89041
A/Peru/PER055/2011|2011-01-07,2011.01644
A/Thailand/SN10452/2010|2010-10-07,2010.76438
A/California/NHRC0001/2011|2011-01-14,2011.03562
A/Bogota/WRAIR3457T/2010|2010-12-01,2010.91507
A/Tennessee/F2034/2011|2011-02-07,2011.10137
A/Tennessee/F2019/2011|2011-01-21,2011.05479
A/Peru/PER369/2010|2010-11-20,2010.88493
A/Peru/PER361/2010|2010-11-20,2010.88493
A/Peru/PER310/2010|2010-12-03,2010.92055
A/Peru/PER291/2010|2010-10-22,2010.80548
A/Peru/PER312/2010|2010-10-22,2010.80548
A/Peru/PER285/2010|2010-11-30,2010.91233
A/Peru/PER257/2010|2010-10-20,2010.80000
A/Peru/PER201/2010|2010-11-15,2010.87123
A/Peru/PER160/2010|2010-10-25,2010.81370
A/Peru/PER015/2010|2010-11-26,2010.90137
A/Boston/DOA77/2011|2011-03-13,2011.19452
A/Boston/DOA04/2011|2011-01-05,2011.01096
A/Peru/PER101/2010|2010-10-16,2010.78904
A/Peru/PER123/2010|2010-11-17,2010.87671
A/Peru/PER146/2010|2010-11-17,2010.87671
A/Peru/PER168/2010|2010-12-03,2010.92055
A/Peru/PER171/2010|2010-10-19,2010.79726
A/Peru/PER183/2010|2010-11-11,2010.86027
A/Peru/PER188/2010|2010-10-13,2010.78082
A/Peru/PER198/2010|2010-11-29,2010.90959
A/Peru/PER226/2011|2011-10-07,2011.76438
A/Peru/PER234/2010|2010-12-03,2010.92055
A/Peru/PER237/2010|2010-12-03,2010.92055
A/Peru/PER279/2010|2010-09-20,2010.71781
A/Peru/PER311/2010|2010-11-17,2010.87671
A/Peru/PER316/2012|2012-04-10,2012.27322
A/Peru/PER321/2010|2010-09-30,2010.74521
A/Peru/PER335/2010|2010-11-11,2010.86027
A/Tennessee/F2053/2011|2011-02-22,2011.14247
A/Peru/PER263/2010|2010-11-09,2010.85479
A/Queensland/41/2004|2004-10-07,2004.76503
A/Western_Australia/55/2004|2004-09-14,2004.70219
A/Queensland/44/2004|2004-10-09,2004.77049
A/Queensland/48/2004|2004-09-30,2004.74590
A/Western_Australia/58/2004|2004-10-01,2004.74863
A/Hong_Kong/HKU49/2005|2005-04-04,2005.25479
